Generations,Popsize,Neutral,Deleterious,Beneficial
563,9823,6752,7088,796
564,9951,6734,7105,798
565,9880,6733,7108,792
566,9893,6700,7114,792
567,9822,6720,7097,797
568,9875,6723,7113,806
569,9834,6712,7088,801
570,9895,6758,7101,796
571,9970,6820,7095,793
572,9810,6765,7052,796
573,9742,6822,7033,794
574,9747,6828,7058,808
575,9839,6831,7042,801
576,9782,6803,7055,811
577,9877,6821,7040,825
578,9864,6818,7068,809
579,9899,6843,7107,803
580,9803,6843,7092,815
581,9863,6795,7082,822
582,9874,6766,7085,802
583,9848,6765,7114,791
584,9889,6743,7007,796
585,9850,6780,7066,796
586,9892,6753,7050,785
587,9749,6735,6986,791
588,9900,6721,7032,812
589,9839,6790,7094,830
590,9793,6863,7072,833
591,9735,6878,7092,825
592,9766,6910,7087,831
593,9819,6861,7054,820
594,9906,6866,7094,832
595,9931,6871,7101,845
596,9870,6895,7088,841
597,9792,6875,7085,838
598,9842,6863,7127,832
599,9818,6850,7119,838
600,9820,6854,7086,848
601,9802,6848,7064,832
602,9856,6809,7034,832
603,10055,6850,7047,834
604,9909,6820,7005,841
605,9900,6826,7090,856
606,9876,6866,7086,849
607,9919,6883,7123,850
608,9847,6822,7088,838
609,9815,6808,7086,838
610,9772,6817,7061,839
611,9897,6860,7072,842
612,9925,6928,7086,847
613,9926,6951,7079,839
614,9855,6942,7043,837
615,9931,6945,7087,827
616,9804,6943,7100,843
617,9835,6944,7127,842
618,9898,6934,7136,847
619,9819,6838,7111,846
620,9881,6832,7142,847
621,9797,6799,7121,823
622,9797,6777,7098,830
623,9808,6787,7061,833
624,9894,6780,7022,838
625,9731,6830,6975,825
626,9798,6878,6994,824
627,9667,6896,6985,830
628,9895,6882,7042,830
629,9821,6833,7055,840
630,9823,6865,7027,838
631,9844,6884,7029,853
632,9817,6881,7096,840
633,9691,6842,7093,830
634,9886,6854,7158,826
635,9796,6868,7124,817
636,9662,6826,7083,828
637,9917,6855,7103,852
638,9816,6848,7066,855
639,9795,6871,7050,863
640,9807,6914,7035,868
641,9780,6907,7067,855
642,9820,6863,7070,845
643,9782,6847,7079,839
644,9786,6869,7066,857
645,9836,6851,7063,847
