pos	fix_time	rep	recomb	mut_rate	num_sub
5	13977	10	unlinked	1.00E-08	6
6	9096	10	unlinked	1.00E-08	6
7	1418	10	unlinked	1.00E-08	6
8	2369	10	unlinked	1.00E-08	6
9	7083	1	unlinked	1.00E-09	1
0	4994	2	unlinked	1.00E-09	1
1	6618	3	unlinked	1.00E-09	1
9	5478	4	unlinked	1.00E-09	1
1	10764	5	unlinked	1.00E-09	1
1	18968	6	unlinked	1.00E-09	2
3	14006	6	unlinked	1.00E-09	2
NA	NA	7	unlinked	1.00E-09	0
4	2338	8	unlinked	1.00E-09	2
5	1721	8	unlinked	1.00E-09	2
0	10320	9	unlinked	1.00E-09	2
6	8279	9	unlinked	1.00E-09	2
NA	NA	10	unlinked	1.00E-09	0
